Composition


AlCoCuCrFeNi
AlCoCrFeNi
Al23Co15Cr23Cu8Fe15Ni16
Al8Co17Cr17Cu8Fe17Ni33
Al8Co18Cr14Cu8Fe17Ni33MoTiW
Al10Co25Cr8Fe15Ni36Ti6
Al25Ti25Ni25Cu25
Al25Ti25Ni25Cu25
Al25Ti25Ni25Cu25
Al25Ti25Ni25Cu25
Al22.5Ti22.5Ni20Cu20Fe15
Al22.5Ti22.5Ni20Cu20Fe15
Al22.5Ti22.5Ni20Cu20Fe15
Al22.5Ti22.5Ni20Cu20Fe15
Al20Ti20Ni20Cu20Fe20
Al20Ti20Ni20Cu20Fe20
Al20Ti20Ni20Cu20Fe20
Al20Ti20Ni20Cu20Fe20

CoCrFeMn
Co90Cr90Fe90Mn90Ni10
CoCrFeMnNi
Co90Cr90Fe90Al90Ni10
Co85Cr85Fe85Al85Ni15
CoCrFeAlNi
CoCrFeAlNi1.5
CoCrFeAlNi2
CoCrFeAlNi2.5
CoCrFeAlNi3
CoCrFeAlNi4

CuYZrTiHf
CuYZrHfAl
CuYZrTiAl

CrNbTiVZr
CrNbTiVZr
CrNbTiVZr
CrNbTiVZr
CrNbTiVZr
Al0.25CrNbTiVZr
Al0.25CrNbTiVZr
Al0.25CrNbTiVZr
Al0.25CrNbTiVZr
Al0.25CrNbTiVZr
Al0.5CrNbTiVZr
Al0.5CrNbTiVZr
Al0.5CrNbTiVZr
Al0.5CrNbTiVZr
Al0.5CrNbTiVZr
AlCrNbTiVZr
AlCrNbTiVZr
AlCrNbTiVZr
AlCrNbTiVZr
AlCrNbTiVZr

C0 Fe40.4Ni11.3Mn34.8Al7.5Cr6
C0.07 Fe40.4Ni11.3Mn34.8Al7.5Cr7
C0.16 Fe40.4Ni11.3Mn34.8Al7.5Cr8
C0.30 Fe40.4Ni11.3Mn34.8Al7.5Cr9
C0.55 Fe40.4Ni11.3Mn34.8Al7.5Cr10
C1.10 Fe40.4Ni11.3Mn34.8Al7.5Cr11

NiCoCuFeCr
Ni1.2CoCuFeCr0.8
Ni1.5CoCuFeCr0.5
Ni1.8CoCuFeCr0.2
NiCoCuFeCr
Ni1.2CoCuFeCr0.8
Ni1.5CoCuFeCr0.5
Ni1.8CoCuFeCr0.2

CoCrFeMnNi
CoCrFeMnNiV0.25 
CoCrFeMnNiV0.5
CoCrFeMnNiV0.75 
CoCrFeMnNiV 
CoCrFeMnNi
CoCrFeMnNiV0.25 
CoCrFeMnNiV0.5
CoCrFeMnNiV0.75 
CoCrFeMnNiV 

CoCrFeNi
CoCrFeNi
CoCrFeNiMn
CoCrFeNiMn
CoCrFeNiV
CoCrFeNiV
CoCrFeNiMnV
CoCrFeNiMnV

Al0.2Si0.2CrFeCoNiCu0.8
Al0.4Si0.2CrFeCoNCu0.6
Al0.5Si0.2CrFeCoNCu0.5
Al0.6Si0.2CrFeCoNCu0.4
Al0.8Si0.2CrFeCoNCu0.2
Al0.9Si0.2CrFeCoNCu0.1
Al0.2Si0.2CrFeCoNiCu0.8
Al0.4Si0.2CrFeCoNCu0.6
Al0.5Si0.2CrFeCoNCu0.5
Al0.6Si0.2CrFeCoNCu0.4
